IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer
MadoRequestedProcedure.relevantHistory,EuMadoRequestedProcedure.relevantHistory,,,,,,,
MadoWadoEndpoint.id,EuMadoWadoEndpoint.id,,,,,,,
MadoWadoEndpoint.meta,EuMadoWadoEndpoint.meta,,,,,,,
MadoWadoEndpoint.implicitRules,EuMadoWadoEndpoint.implicitRules,,,,,,,
MadoWadoEndpoint.language,EuMadoWadoEndpoint.language,,,,,,,
MadoWadoEndpoint.text,EuMadoWadoEndpoint.text,,,,,,,
MadoWadoEndpoint.contained,EuMadoWadoEndpoint.contained,,,,,,,
MadoWadoEndpoint.extension,EuMadoWadoEndpoint.extension,,,,,,,
MadoWadoEndpoint.extension[retrieve-location-uid],EuMadoWadoEndpoint.extension[retrieve-location-uid],MS,,SHALL:able-to-populate,Required by MADO,,,
MadoWadoEndpoint.modifierExtension,EuMadoWadoEndpoint.modifierExtension,,,,,,,
MadoWadoEndpoint.identifier,EuMadoWadoEndpoint.identifier,,,,,,,
MadoWadoEndpoint.status,EuMadoWadoEndpoint.status,,,,,,,
MadoWadoEndpoint.connectionType,EuMadoWadoEndpoint.connectionType,,,,,,,
MadoWadoEndpoint.connectionType.id,EuMadoWadoEndpoint.connectionType.id,,,,,,,
MadoWadoEndpoint.connectionType.extension,EuMadoWadoEndpoint.connectionType.extension,,,,,,,
MadoWadoEndpoint.connectionType.system,EuMadoWadoEndpoint.connectionType.system,,,,,,,
MadoWadoEndpoint.connectionType.version,EuMadoWadoEndpoint.connectionType.version,,,,,,,
MadoWadoEndpoint.connectionType.code,EuMadoWadoEndpoint.connectionType.code,,,,,,,
MadoWadoEndpoint.connectionType.display,EuMadoWadoEndpoint.connectionType.display,,,,,,,
MadoWadoEndpoint.connectionType.userSelected,EuMadoWadoEndpoint.connectionType.userSelected,,,,,,,
MadoWadoEndpoint.name,EuMadoWadoEndpoint.name,,,,,,,
MadoWadoEndpoint.managingOrganization,EuMadoWadoEndpoint.managingOrganization,,,,,,,
MadoWadoEndpoint.contact,EuMadoWadoEndpoint.contact,,,,,,,
MadoWadoEndpoint.period,EuMadoWadoEndpoint.period,,,,,,,
MadoWadoEndpoint.payloadType,EuMadoWadoEndpoint.payloadType,,,,,,,
MadoWadoEndpoint.payloadType[text-wado],EuMadoWadoEndpoint.payloadType[text-wado],,,,,,,
MadoWadoEndpoint.payloadType.id,EuMadoWadoEndpoint.payloadType.id,,,,,,,
MadoWadoEndpoint.payloadType.extension,EuMadoWadoEndpoint.payloadType.extension,,,,,,,
MadoWadoEndpoint.payloadType.coding,EuMadoWadoEndpoint.payloadType.coding,,,,,,,
MadoWadoEndpoint.payloadType.coding[none],EuMadoWadoEndpoint.payloadType.coding[none],,,,,,,
MadoWadoEndpoint.payloadType.coding.id,EuMadoWadoEndpoint.payloadType.coding.id,,,,,,,
MadoWadoEndpoint.payloadType.coding.extension,EuMadoWadoEndpoint.payloadType.coding.extension,,,,,,,
MadoWadoEndpoint.payloadType.coding.system,EuMadoWadoEndpoint.payloadType.coding.system,,,,,,,
MadoWadoEndpoint.payloadType.coding.version,EuMadoWadoEndpoint.payloadType.coding.version,,,,,,,
MadoWadoEndpoint.payloadType.coding.code,EuMadoWadoEndpoint.payloadType.coding.code,,,,,,,
MadoWadoEndpoint.payloadType.coding.display,EuMadoWadoEndpoint.payloadType.coding.display,,,,,,,
MadoWadoEndpoint.payloadType.coding.userSelected,EuMadoWadoEndpoint.payloadType.coding.userSelected,,,,,,,
MadoWadoEndpoint.payloadType.text,EuMadoWadoEndpoint.payloadType.text,,,,,,,
MadoWadoEndpoint.payloadMimeType,EuMadoWadoEndpoint.payloadMimeType,,,,,,,
MadoWadoEndpoint.address,EuMadoWadoEndpoint.address,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoWadoEndpoint.address.id,EuMadoWadoEndpoint.address.id,,,,,,,
MadoWadoEndpoint.address.extension,EuMadoWadoEndpoint.address.extension,,,,,,,
MadoWadoEndpoint.address.extension[data-absent-reason],EuMadoWadoEndpoint.address.extension[data-absent-reason],,,,,,,
MadoWadoEndpoint.address.extension.id,EuMadoWadoEndpoint.address.extension.id,,,,,,,
MadoWadoEndpoint.address.extension.extension,EuMadoWadoEndpoint.address.extension.extension,,,,,,,
MadoWadoEndpoint.address.extension.url,EuMadoWadoEndpoint.address.extension.url,,,,,,,
MadoWadoEndpoint.address.extension.value[x],EuMadoWadoEndpoint.address.extension.value[x],,,,,,,
MadoWadoEndpoint.address.value,EuMadoWadoEndpoint.address.value,,,,,,,
MadoWadoEndpoint.header,EuMadoWadoEndpoint.header,,,,,,,
MadoWebViewerEndpoint.id,EuMadoWebViewerEndpoint.id,,,,,,,
MadoWebViewerEndpoint.meta,EuMadoWebViewerEndpoint.meta,,,,,,,
MadoWebViewerEndpoint.implicitRules,EuMadoWebViewerEndpoint.implicitRules,,,,,,,
MadoWebViewerEndpoint.language,EuMadoWebViewerEndpoint.language,,,,,,,
MadoWebViewerEndpoint.text,EuMadoWebViewerEndpoint.text,,,,,,,
MadoWebViewerEndpoint.contained,EuMadoWebViewerEndpoint.contained,,,,,,,
MadoWebViewerEndpoint.extension,EuMadoWebViewerEndpoint.extension,,,,,,,
MadoWebViewerEndpoint.modifierExtension,EuMadoWebViewerEndpoint.modifierExtension,,,,,,,
MadoWebViewerEndpoint.identifier,EuMadoWebViewerEndpoint.identifier,,,,,,,
MadoWebViewerEndpoint.status,EuMadoWebViewerEndpoint.status,,,,,,,
MadoWebViewerEndpoint.connectionType,EuMadoWebViewerEndpoint.connectionType,,,,,,,
MadoWebViewerEndpoint.name,EuMadoWebViewerEndpoint.name,,,,,,,
MadoWebViewerEndpoint.managingOrganization,EuMadoWebViewerEndpoint.managingOrganization,,,,,,,
MadoWebViewerEndpoint.contact,EuMadoWebViewerEndpoint.contact,,,,,,,
MadoWebViewerEndpoint.period,EuMadoWebViewerEndpoint.period,,,,,,,
MadoWebViewerEndpoint.payloadType,EuMadoWebViewerEndpoint.payloadType,,,,,,,
MadoWebViewerEndpoint.payloadType[type-none],EuMadoWebViewerEndpoint.payloadType[type-none],,,,,,,
MadoWebViewerEndpoint.payloadType.id,EuMadoWebViewerEndpoint.payloadType.id,,,,,,,
MadoWebViewerEndpoint.payloadType.extension,EuMadoWebViewerEndpoint.payloadType.extension,,,,,,,
MadoWebViewerEndpoint.payloadType.coding,EuMadoWebViewerEndpoint.payloadType.coding,,,,,,,
MadoWebViewerEndpoint.payloadType.coding.id,EuMadoWebViewerEndpoint.payloadType.coding.id,,,,,,,
MadoWebViewerEndpoint.payloadType.coding.extension,EuMadoWebViewerEndpoint.payloadType.coding.extension,,,,,,,
MadoWebViewerEndpoint.payloadType.coding.system,EuMadoWebViewerEndpoint.payloadType.coding.system,,,,,,,
MadoWebViewerEndpoint.payloadType.coding.version,EuMadoWebViewerEndpoint.payloadType.coding.version,,,,,,,
MadoWebViewerEndpoint.payloadType.coding.code,EuMadoWebViewerEndpoint.payloadType.coding.code,,,,,,,
MadoWebViewerEndpoint.payloadType.coding.display,EuMadoWebViewerEndpoint.payloadType.coding.display,,,,,,,
MadoWebViewerEndpoint.payloadType.coding.userSelected,EuMadoWebViewerEndpoint.payloadType.coding.userSelected,,,,,,,
MadoWebViewerEndpoint.payloadType.text,EuMadoWebViewerEndpoint.payloadType.text,,,,,,,
MadoWebViewerEndpoint.payloadMimeType,EuMadoWebViewerEndpoint.payloadMimeType,,,,,,,
MadoWebViewerEndpoint.address,EuMadoWebViewerEndpoint.address,MS,,SHALL:populate,Required by MADO,,,
MadoWebViewerEndpoint.header,EuMadoWebViewerEndpoint.header,,,,,,,
MadoAccessionNumberIdentifier.id,,,,,,,,
MadoAccessionNumberIdentifier.extension,,,,,,,,
MadoAccessionNumberIdentifier.use,,,,,,,,
MadoAccessionNumberIdentifier.type,,,,,,,,
MadoAccessionNumberIdentifier.type.id,,,,,,,,
MadoAccessionNumberIdentifier.type.extension,,,,,,,,
MadoAccessionNumberIdentifier.type.coding,,,,,,,,
MadoAccessionNumberIdentifier.type.coding[v2-0203-coding],,,,,,,,
MadoAccessionNumberIdentifier.type.coding[dcm],,,,,,,,
MadoAccessionNumberIdentifier.type.text,,,,,,,,
MadoAccessionNumberIdentifier.system,,,,,,,,
MadoAccessionNumberIdentifier.value,,,,,,,,
MadoAccessionNumberIdentifier.period,,,,,,,,
MadoAccessionNumberIdentifier.assigner,,,,,,,,
MadoAnatomicalRegionExtension.id,,,,,,,,
MadoAnatomicalRegionExtension.extension,,,,,,,,
MadoAnatomicalRegionExtension.url,,,,,,,,
MadoAnatomicalRegionExtension.value[x],,,,,,,,
MadoKeyObjectDocumentTitle.id,,,,,,,,
MadoKeyObjectDocumentTitle.extension,,,,,,,,
MadoKeyObjectDocumentTitle.url,,,,,,,,
MadoKeyObjectDocumentTitle.value[x],,,,,,,,
MadoNumberOfFrames.id,,,,,,,,
MadoNumberOfFrames.extension,,,,,,,,
MadoNumberOfFrames.url,,,,,,,,
MadoNumberOfFrames.value[x],,,,,,,,
MadoReferencedAccessionNumberIdentifier.id,,,,,,,,
MadoReferencedAccessionNumberIdentifier.extension,,,,,,,,
MadoReferencedAccessionNumberIdentifier.reference,,,,,,,,
MadoReferencedAccessionNumberIdentifier.type,,,,,,,,
MadoReferencedAccessionNumberIdentifier.identifier,,,,,,,,
MadoReferencedAccessionNumberIdentifier.display,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.id,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.extension,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.reference,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.type,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.identifier,,,,,,,,
MadoReferencedStudyInstanceUidIdentifier.display,,,,,,,,
MadoRetrieveLocationUIDExtension.id,,,,,,,,
MadoRetrieveLocationUIDExtension.extension,,,,,,,,
MadoRetrieveLocationUIDExtension.url,,,,,,,,
MadoRetrieveLocationUIDExtension.value[x],,,,,,,,
MadoStudyInstanceUidIdentifier.id,,,,,,,,
MadoStudyInstanceUidIdentifier.extension,,,,,,,,
MadoStudyInstanceUidIdentifier.use,,,,,,,,
MadoStudyInstanceUidIdentifier.type,,,,,,,,
MadoStudyInstanceUidIdentifier.type.id,,,,,,,,
MadoStudyInstanceUidIdentifier.type.extension,,,,,,,,
MadoStudyInstanceUidIdentifier.type.coding,,,,,,,,
MadoStudyInstanceUidIdentifier.type.coding[dcm],,,,,,,,
MadoStudyInstanceUidIdentifier.type.text,,,,,,,,
MadoStudyInstanceUidIdentifier.system,,,,,,,,
MadoStudyInstanceUidIdentifier.value,,,,,,,,
MadoStudyInstanceUidIdentifier.period,,,,,,,,
MadoStudyInstanceUidIdentifier.assigner,,,,,,,,
,,,,,,EHDSAddress.use,,
,,,,,,EHDSAddress.type,,
,,,,,,EHDSAddress.text,,
,,,,,,EHDSAddress.street,,
,,,,,,EHDSAddress.houseNumber,,
,,,,,,EHDSAddress.postBox,,
,,,,,,EHDSAddress.city,,
,,,,,,EHDSAddress.postalCode,,
,,,,,,EHDSAddress.country,,
,,,,,,EHDSAdministeredDosage.renderedDosageInstruction,,
,,,,,,EHDSAdministeredDosage.dosageDetails,,
,,,,,,EHDSAdministeredDosage.dosageDetails.sequence,,
,,,,,,EHDSAdministeredDosage.dosageDetails.note,,
,,,,,,EHDSAdministeredDosage.dosageDetails.doseAndRate,,
,,,,,,EHDSAdministeredDosage.dosageDetails.doseAndRate.dose[x],,
,,,,,,EHDSAdministeredDosage.dosageDetails.doseAndRate.rate[x],,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat,,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.bounds[x],,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.duration,,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.frequency,,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.frequency.numberOfTimes,,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.frequency.period,,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.dayOfWeek,,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.timeOfDay,,
,,,,,,EHDSAdministeredDosage.dosageDetails.repeat.eventTime,,
,,,,,,EHDSAdministeredDosage.dosageDetails.asNeeded,,
,,,,,,EHDSAdministeredDosage.dosageDetails.bodySite,,
,,,,,,EHDSAdministeredDosage.dosageDetails.routeOfAdministration,,
,,,,,,EHDSAdvanceDirective.header,,
,,,,,,EHDSAdvanceDirective.header.subject,,SHALL:able-to-populate
,,,,,,EHDSAdvanceDirective.header.identifier,,
,,,,,,EHDSAdvanceDirective.header.author[x],,SHALL:able-to-populate
,,,,,,EHDSAdvanceDirective.header.date,,SHALL:able-to-populate
,,,,,,EHDSAdvanceDirective.header.status,,SHALL:able-to-populate
,,,,,,EHDSAdvanceDirective.header.source,,SHOULD:able-to-populate
,,,,,,EHDSAdvanceDirective.header.language,,
,,,,,,EHDSAdvanceDirective.category,,SHALL:able-to-populate
,,,,,,EHDSAdvanceDirective.note,,SHOULD:able-to-populate
,,,,,,EHDSAdvanceDirective.attachment,,SHOULD:able-to-populate
,,,,,,EHDSAlert.header,,
,,,,,,EHDSAlert.header.subject,,SHALL:able-to-populate
,,,,,,EHDSAlert.header.identifier,,
,,,,,,EHDSAlert.header.author[x],,
,,,,,,EHDSAlert.header.date,,
,,,,,,EHDSAlert.header.status,,SHALL:able-to-populate
,,,,,,EHDSAlert.header.source,,
,,,,,,EHDSAlert.header.language,,
,,,,,,EHDSAlert.code,,SHALL:able-to-populate
,,,,,,EHDSAlert.description,,SHALL:able-to-populate
,,,,,,EHDSAlert.priority,,SHOULD:able-to-populate
,,,,,,EHDSAlert.period,,SHALL:able-to-populate
,,,,,,EHDSAlert.sourceReference,,
,,,,,,EHDSAllergyIntolerance.header,,
,,,,,,EHDSAllergyIntolerance.header.subject,,SHALL:able-to-populate
,,,,,,EHDSAllergyIntolerance.header.identifier,,SHOULD:able-to-populate
,,,,,,EHDSAllergyIntolerance.header.author[x],,
,,,,,,EHDSAllergyIntolerance.header.date,,SHOULD:able-to-populate
,,,,,,EHDSAllergyIntolerance.header.status,,SHALL:able-to-populate
,,,,,,EHDSAllergyIntolerance.header.source,,
,,,,,,EHDSAllergyIntolerance.header.language,,
,,,,,,EHDSAllergyIntolerance.agentOrAllergen,,SHALL:able-to-populate
,,,,,,EHDSAllergyIntolerance.note,,SHOULD:able-to-populate
,,,,,,EHDSAllergyIntolerance.criticality,,SHOULD:able-to-populate
,,,,,,EHDSAllergyIntolerance.certainty,,
,,,,,,EHDSAllergyIntolerance.onsetDate,,
,,,,,,EHDSAllergyIntolerance.endDate,,
,,,,,,EHDSAllergyIntolerance.reaction,,
,,,,,,EHDSAllergyIntolerance.reaction.agentOrAllergen,,
,,,,,,EHDSAllergyIntolerance.reaction.manifestation,,SHALL:able-to-populate
,,,,,,EHDSAllergyIntolerance.reaction.severity,,
,,,,,,EHDSAllergyIntolerance.reaction.onset,,SHALL:able-to-populate
,,,,,,EHDSAttachment.contentType,,
,,,,,,EHDSAttachment.language,,
,,,,,,EHDSAttachment.data,,
,,,,,,EHDSAttachment.url,,
,,,,,,EHDSAttachment.size,,
,,,,,,EHDSAttachment.title,,
,,,,,,EHDSBodyStructure.morphology,,
,,,,,,EHDSBodyStructure.location,,
,,,,,,EHDSBodyStructure.locationQualifier,,
,,,,,,EHDSBodyStructure.laterality,,
,,,,,,EHDSBodyStructure.description,,
,,,,,,EHDSCarePlan.header,,
,,,,,,EHDSCarePlan.header.subject,,
,,,,,,EHDSCarePlan.header.identifier,,
,,,,,,EHDSCarePlan.header.author[x],,
,,,,,,EHDSCarePlan.header.date,,
,,,,,,EHDSCarePlan.header.status,,
,,,,,,EHDSCarePlan.header.source,,
,,,,,,EHDSCarePlan.header.language,,
,,,,,,EHDSCarePlan.title,,
,,,,,,EHDSCarePlan.description,,
,,,,,,EHDSCarePlan.period,,
,,,,,,EHDSCarePlan.addresses[x],,
,,,,,,EHDSCarePlan.activity[x],,
,,,,,,EHDSCarePlan.goal,,
,,,,,,EHDSCondition.header,,SHALL:able-to-populate
,,,,,,EHDSCondition.header.subject,,SHALL:able-to-populate
,,,,,,EHDSCondition.header.identifier,,SHOULD:able-to-populate
,,,,,,EHDSCondition.header.author[x],,
,,,,,,EHDSCondition.header.date,,
,,,,,,EHDSCondition.header.status,,SHALL:able-to-populate
,,,,,,EHDSCondition.header.source,,
,,,,,,EHDSCondition.header.language,,
,,,,,,EHDSCondition.problem,,SHALL:able-to-populate
,,,,,,EHDSCondition.onsetDate,,SHOULD:able-to-populate
,,,,,,EHDSCondition.endDate,,SHALL:able-to-populate
,,,,,,EHDSCondition.category,,
,,,,,,EHDSCondition.resolutionCircumstances,,
,,,,,,EHDSCondition.severity,,
,,,,,,EHDSCondition.bodySite,,SHOULD:able-to-populate
,,,,,,EHDSCondition.stage,,
,,,,,,EHDSCondition.diagnosisAssertionStatus,,
,,,,,,EHDSCondition.specialistContact,,
,,,,,,EHDSCondition.externalResource,,
,,,,,,EHDSCurrentPregnancy.header,,SHALL:able-to-populate
,,,,,,EHDSCurrentPregnancy.header.subject,,SHALL:able-to-populate
,,,,,,EHDSCurrentPregnancy.header.identifier,,
,,,,,,EHDSCurrentPregnancy.header.author[x],,
,,,,,,EHDSCurrentPregnancy.header.date,,
,,,,,,EHDSCurrentPregnancy.header.status,,SHALL:able-to-populate
,,,,,,EHDSCurrentPregnancy.header.source,,
,,,,,,EHDSCurrentPregnancy.header.language,,
,,,,,,EHDSCurrentPregnancy.currentPregnancyStatus,,SHALL:able-to-populate
,,,,,,EHDSCurrentPregnancy.dateOfStatus,,SHALL:able-to-populate
,,,,,,EHDSCurrentPregnancy.expectedDateOfDelivery,,SHALL:able-to-populate
,,,,,,EHDSCurrentPregnancy.gestationalAge,,
,,,,,,EHDSCurrentPregnancy.note,,
,,,,,,EHDSDataSet.header,,
,,,,,,EHDSDataSet.header.subject,,
,,,,,,EHDSDataSet.header.identifier,,
,,,,,,EHDSDataSet.header.author[x],,
,,,,,,EHDSDataSet.header.date,,
,,,,,,EHDSDataSet.header.status,,
,,,,,,EHDSDataSet.header.source,,
,,,,,,EHDSDataSet.header.language,,
,,,,,,EHDSDevice.instanceIdentifier,,
,,,,,,EHDSDevice.udi,,SHALL:able-to-populate
,,,,,,EHDSDevice.manufacturer,,
,,,,,,EHDSDevice.manufactureDate,,
,,,,,,EHDSDevice.expiryDate,,
,,,,,,EHDSDevice.lotNumber,,
,,,,,,EHDSDevice.serialNumber,,
,,,,,,EHDSDevice.name,,SHOULD:able-to-populate
,,,,,,EHDSDevice.name.value,,SHALL:able-to-populate
,,,,,,EHDSDevice.name.type,,SHALL:able-to-populate
,,,,,,EHDSDevice.modelNumber,,
,,,,,,EHDSDevice.version,,
,,,,,,EHDSDevice.type,,SHOULD:able-to-populate
,,,,,,EHDSDevice.note,,SHOULD:able-to-populate
,,,,,,EHDSDeviceUse.header,,
,,,,,,EHDSDeviceUse.header.subject,,SHALL:able-to-populate
,,,,,,EHDSDeviceUse.header.identifier,,
,,,,,,EHDSDeviceUse.header.author[x],,
,,,,,,EHDSDeviceUse.header.date,,
,,,,,,EHDSDeviceUse.header.status,,SHALL:able-to-populate
,,,,,,EHDSDeviceUse.header.source,,
,,,,,,EHDSDeviceUse.header.language,,
,,,,,,EHDSDeviceUse.periodOfUse,,SHOULD:able-to-populate
,,,,,,EHDSDeviceUse.device[x],,SHALL:able-to-populate
,,,,,,EHDSDeviceUse.bodySite,,SHOULD:able-to-populate
,,,,,,EHDSDeviceUse.reason[x],,
,,,,,,EHDSDeviceUse.note,,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.header,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.subject,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.identifier,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.author[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.date,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.status,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.source,,
,,,,,,EHDSDischargeReport.header.language,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.documentType,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.documentTitle,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.period,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.version,,
,,,,,,EHDSDischargeReport.header.attestation,SHALL:display,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.attestation.attester[x],SHALL:display,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.attestation.datetime,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.legalAuthentication,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.legalAuthentication.legalAuthenticator[x],,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.legalAuthentication.datetime,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.eventType,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.serviceSpecialty,SHOULD:display,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.custodian,,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.header.intendedRecipient[x],,
,,,,,,EHDSDischargeReport.presentedForm,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body.alerts,SHOULD:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.alerts.generatedNarrative,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.alerts.medicalAlert,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.encounterInformation,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body.encounterInformation.generatedNarrative,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body.encounterInformation.encounter,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body.encounterInformation.note,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.admissionEvaluation,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body.admissionEvaluation.generatedNarrative,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.admissionEvaluation.objectiveFindings,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.admissionEvaluation.functionalStatus[x],SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.admissionEvaluation.note,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.patientHistory,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.patientHistory.generatedNarrative,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.patientHistory.pastProblems,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.patientHistory.devicesAndImplants,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.patientHistory.procedures,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.patientHistory.note,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.courseOfEncounter,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body.courseOfEncounter.generatedNarrative,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.courseOfEncounter.diagnosticSummary,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.courseOfEncounter.procedures,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.courseOfEncounter.medicalDevicesAndImplants,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.courseOfEncounter.pharmacotherapy,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.courseOfEncounter.testResults[x],SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.courseOfEncounter.note,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.dischargeDetails,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.dischargeDetails.generatedNarrative,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.dischargeDetails.objectiveFindings,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.dischargeDetails.functionalStatus[x],SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.dischargeDetails.note,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.medicationSummary,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body.medicationSummary.generatedNarrative,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.medicationSummary.medicationUse,SHALL:process,SHALL:able-to-populate
,,,,,,EHDSDischargeReport.body.medicationSummary.note,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.carePlan,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.carePlan.generatedNarrative,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.carePlan.carePlan,,
,,,,,,EHDSDischargeReport.body.carePlan.otherRecommendations,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.body.synthesis,SHALL:process,SHOULD:able-to-populate
,,,,,,EHDSDischargeReport.attachments,,
,,,,,,EHDSDocument.header,,
,,,,,,EHDSDocument.header.subject,,
,,,,,,EHDSDocument.header.identifier,,
,,,,,,EHDSDocument.header.author[x],,
,,,,,,EHDSDocument.header.date,,
,,,,,,EHDSDocument.header.status,,
,,,,,,EHDSDocument.header.source,,
,,,,,,EHDSDocument.header.language,,
,,,,,,EHDSDocument.header.documentType,,
,,,,,,EHDSDocument.header.documentTitle,,
,,,,,,EHDSDocument.header.period,,
,,,,,,EHDSDocument.header.version,,
,,,,,,EHDSDocument.header.attestation,,
,,,,,,EHDSDocument.header.attestation.attester[x],,
,,,,,,EHDSDocument.header.attestation.datetime,,
,,,,,,EHDSDocument.header.legalAuthentication,,
,,,,,,EHDSDocument.header.legalAuthentication.legalAuthenticator[x],,
,,,,,,EHDSDocument.header.legalAuthentication.datetime,,
,,,,,,EHDSDocument.header.eventType,,
,,,,,,EHDSDocument.header.serviceSpecialty,,
,,,,,,EHDSDocument.header.custodian,,
,,,,,,EHDSDocument.presentedForm,,
,,,,,,EHDSDosage.renderedDosageInstruction,,SHOULD:able-to-populate
,,,,,,EHDSDosage.dosageDetails,,
,,,,,,EHDSDosage.dosageDetails.sequence,,
,,,,,,EHDSDosage.dosageDetails.note,,SHOULD:able-to-populate
,,,,,,EHDSDosage.dosageDetails.doseAndRate,,
,,,,,,EHDSDosage.dosageDetails.doseAndRate.dose[x],,SHALL:able-to-populate
,,,,,,EHDSDosage.dosageDetails.doseAndRate.rate[x],,
,,,,,,EHDSDosage.dosageDetails.repeat,,SHALL:able-to-populate
,,,,,,EHDSDosage.dosageDetails.repeat.bounds[x],,SHALL:able-to-populate
,,,,,,EHDSDosage.dosageDetails.repeat.duration,,
,,,,,,EHDSDosage.dosageDetails.repeat.frequency,,SHALL:able-to-populate
,,,,,,EHDSDosage.dosageDetails.repeat.frequency.numberOfTimes,,SHALL:able-to-populate
,,,,,,EHDSDosage.dosageDetails.repeat.frequency.period,,SHALL:able-to-populate
,,,,,,EHDSDosage.dosageDetails.repeat.dayOfWeek,,
