IHE-MADO,FHIR Imaging Study Manifest,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer,DICOM-KOS
,,,,,,,EHDSDischargeReport.header.documentType,,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.documentTitle,,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.period,,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.version,,,
,,,,,,,EHDSDischargeReport.header.attestation,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.attestation.attester[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.attestation.datetime,,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.legalAuthentication,,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.legalAuthentication.legalAuthenticator[x],,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.legalAuthentication.datetime,,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.eventType,,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.serviceSpecialty,SHOULD:display,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.custodian,,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.header.intendedRecipient[x],,,
,,,,,,,EHDSDischargeReport.presentedForm,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body.alerts,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.alerts.generatedNarrative,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.alerts.medicalAlert,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.encounterInformation,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body.encounterInformation.generatedNarrative,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body.encounterInformation.encounter,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body.encounterInformation.note,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.admissionEvaluation,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body.admissionEvaluation.generatedNarrative,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.admissionEvaluation.objectiveFindings,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.admissionEvaluation.functionalStatus[x],SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.admissionEvaluation.note,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.patientHistory,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.patientHistory.generatedNarrative,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.patientHistory.pastProblems,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.patientHistory.devicesAndImplants,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.patientHistory.procedures,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.patientHistory.note,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.courseOfEncounter,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body.courseOfEncounter.generatedNarrative,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.courseOfEncounter.diagnosticSummary,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.courseOfEncounter.procedures,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.courseOfEncounter.medicalDevicesAndImplants,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.courseOfEncounter.pharmacotherapy,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.courseOfEncounter.testResults[x],SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.courseOfEncounter.note,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.dischargeDetails,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.dischargeDetails.generatedNarrative,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.dischargeDetails.objectiveFindings,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.dischargeDetails.functionalStatus[x],SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.dischargeDetails.note,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.medicationSummary,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body.medicationSummary.generatedNarrative,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.medicationSummary.medicationUse,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSDischargeReport.body.medicationSummary.note,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.carePlan,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.carePlan.generatedNarrative,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.carePlan.carePlan,,,
,,,,,,,EHDSDischargeReport.body.carePlan.otherRecommendations,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.body.synthesis,SHALL:process,SHOULD:able-to-populate,
,,,,,,,EHDSDischargeReport.attachments,,,
,,,,,,,EHDSDocument.header,,,
,,,,,,,EHDSDocument.header.subject,,,
,,,,,,,EHDSDocument.header.identifier,,,
,,,,,,,EHDSDocument.header.author[x],,,
,,,,,,,EHDSDocument.header.date,,,
,,,,,,,EHDSDocument.header.status,,,
,,,,,,,EHDSDocument.header.source,,,
,,,,,,,EHDSDocument.header.language,,,
,,,,,,,EHDSDocument.header.documentType,,,
,,,,,,,EHDSDocument.header.documentTitle,,,
,,,,,,,EHDSDocument.header.period,,,
,,,,,,,EHDSDocument.header.version,,,
,,,,,,,EHDSDocument.header.attestation,,,
,,,,,,,EHDSDocument.header.attestation.attester[x],,,
,,,,,,,EHDSDocument.header.attestation.datetime,,,
,,,,,,,EHDSDocument.header.legalAuthentication,,,
,,,,,,,EHDSDocument.header.legalAuthentication.legalAuthenticator[x],,,
,,,,,,,EHDSDocument.header.legalAuthentication.datetime,,,
,,,,,,,EHDSDocument.header.eventType,,,
,,,,,,,EHDSDocument.header.serviceSpecialty,,,
,,,,,,,EHDSDocument.header.custodian,,,
,,,,,,,EHDSDocument.presentedForm,,,
,,,,,,,EHDSDosage.renderedDosageInstruction,,SHOULD:able-to-populate,
,,,,,,,EHDSDosage.dosageDetails,,,
,,,,,,,EHDSDosage.dosageDetails.sequence,,,
,,,,,,,EHDSDosage.dosageDetails.note,,SHOULD:able-to-populate,
,,,,,,,EHDSDosage.dosageDetails.doseAndRate,,,
,,,,,,,EHDSDosage.dosageDetails.doseAndRate.dose[x],,SHALL:able-to-populate,
,,,,,,,EHDSDosage.dosageDetails.doseAndRate.rate[x],,,
,,,,,,,EHDSDosage.dosageDetails.repeat,,SHALL:able-to-populate,
,,,,,,,EHDSDosage.dosageDetails.repeat.bounds[x],,SHALL:able-to-populate,
,,,,,,,EHDSDosage.dosageDetails.repeat.duration,,,
,,,,,,,EHDSDosage.dosageDetails.repeat.frequency,,SHALL:able-to-populate,
,,,,,,,EHDSDosage.dosageDetails.repeat.frequency.numberOfTimes,,SHALL:able-to-populate,
,,,,,,,EHDSDosage.dosageDetails.repeat.frequency.period,,SHALL:able-to-populate,
,,,,,,,EHDSDosage.dosageDetails.repeat.dayOfWeek,,,
,,,,,,,EHDSDosage.dosageDetails.repeat.timeOfDay,,,
,,,,,,,EHDSDosage.dosageDetails.repeat.eventTime,,,
,,,,,,,EHDSDosage.dosageDetails.asNeeded,,,
,,,,,,,EHDSDosage.dosageDetails.bodySite,,,
,,,,,,,EHDSDosage.dosageDetails.routeOfAdministration,,SHOULD:able-to-populate,
,,,,,,,EHDSEncounter.header,,,
,,,,,,,EHDSEncounter.header.subject,,,
,,,,,,,EHDSEncounter.header.identifier,,,
,,,,,,,EHDSEncounter.header.author[x],,,
,,,,,,,EHDSEncounter.header.date,,,
,,,,,,,EHDSEncounter.header.status,,,
,,,,,,,EHDSEncounter.header.source,,,
,,,,,,,EHDSEncounter.header.language,,,
,,,,,,,EHDSEncounter.priority,,,
,,,,,,,EHDSEncounter.type,,,
,,,,,,,EHDSEncounter.period,,,
,,,,,,,EHDSEncounter.serviceProvider,,,
,,,,,,,EHDSEncounter.referringProfessional,,,
,,,,,,,EHDSEncounter.basedOn[x],,,
,,,,,,,EHDSEncounter.reason[x],,,
,,,,,,,EHDSEncounter.admission,,,
,,,,,,,EHDSEncounter.admission.admitter,,,
,,,,,,,EHDSEncounter.admission.admitSource,,,
,,,,,,,EHDSEncounter.dischargeDiagnosis[x],,,
,,,,,,,EHDSEncounter.dischargeDestination,,,
,,,,,,,EHDSEncounter.dischargeDestination.type,,,
,,,,,,,EHDSEncounter.dischargeDestination.location[x],,,
,,,,,,,EHDSEncounter.serviceLocation,,,
,,,,,,,EHDSEncounter.serviceLocation.period,,,
,,,,,,,EHDSEncounter.serviceLocation.organisationPart[x],,,
,,,,,,,EHDSEncounter.subEncounter,,,
,,,,,,,EHDSEncounter.note,,,
,,,,,,,EHDSEndpoint.identifier,,,
,,,,,,,EHDSEndpoint.status,,,
,,,,,,,EHDSEndpoint.connectionType,,,
,,,,,,,EHDSEndpoint.name,,,
,,,,,,,EHDSEndpoint.managingOrganisation,,,
,,,,,,,EHDSEndpoint.payload,,,
,,,,,,,EHDSEndpoint.payload.type,,,
,,,,,,,EHDSEndpoint.payload.mimeType,,,
,,,,,,,EHDSEndpoint.payload.profileCanonical,,,
,,,,,,,EHDSEndpoint.payload.profileUri,,,
,,,,,,,EHDSEndpoint.address,,,
,,,,,,,EHDSEndpoint.header,,,
,,,,,,,EHDSHealthProfessional.identifier,,SHALL:able-to-populate,
,,,,,,,EHDSHealthProfessional.name,,SHALL:able-to-populate,
,,,,,,,EHDSHealthProfessional.address,,,
,,,,,,,EHDSHealthProfessional.telecom,,,
,,,,,,,EHDSHealthProfessional.professionalRole,,SHOULD:able-to-populate,
,,,,,,,EHDSHealthProfessional.professionalRole.role,,SHOULD:able-to-populate,
,,,,,,,EHDSHealthProfessional.professionalRole.organisation,,SHALL:able-to-populate,
,,,,,,,EHDSHealthProfessional.professionalRole.specialty,,SHOULD:able-to-populate,
,,,,,,,EHDSHumanName.use,,,
,,,,,,,EHDSHumanName.text,,,
,,,,,,,EHDSHumanName.family,,,
,,,,,,,EHDSHumanName.given,,,
,,,,,,,EHDSHumanName.prefix,,,
,,,,,,,EHDSHumanName.suffix,,,
,,,,,,,EHDSImagingReport.header,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.subject,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.identifier,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.author[x],SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.date,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.status,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.source,,,
,,,,,,,EHDSImagingReport.header.language,,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.documentType,,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.documentTitle,,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.period,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.header.version,,,
,,,,,,,EHDSImagingReport.header.attestation,,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.attestation.attester[x],SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.attestation.datetime,,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.legalAuthentication,,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.legalAuthentication.legalAuthenticator[x],SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.legalAuthentication.datetime,,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.eventType,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.header.serviceSpecialty,SHOULD:process,,
,,,,,,,EHDSImagingReport.header.custodian,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.header.accessionNumber,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.header.intendedRecipient[x],,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.presentedForm,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.orderInformation,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.orderInformation.orderId,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.orderInformation.orderDateAndTime,,,
,,,,,,,EHDSImagingReport.body.orderInformation.orderPlacer[x],,,
,,,,,,,EHDSImagingReport.body.orderInformation.orderReason[x],SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.orderInformation.clinicalQuestion,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.supportingInformation,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.supportingInformation.observation,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.supportingInformation.condition,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.supportingInformation.priorMedicationAdministration,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.supportingInformation.device,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.supportingInformation.pregnancyStatus,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.supportingInformation.sexForClinicalUse,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.specimen,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.exposureInformation,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.modality,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.bodySite,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.imagingProcedures,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.medicationAdministration,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.adverseReaction,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.results[x],SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.conclusion,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.conclusion.impression,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.examinationReport.conclusion.conditionOrFinding[x],SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.recommendation,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.recommendation.description,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.body.recommendation.carePlan,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingReport.body.comparisonStudy,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.dicomStudyMetadata,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingReport.attachments,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingStudy.header,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.header.subject,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.header.identifier,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.header.author[x],SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.header.date,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.header.status,,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.header.source,,,
,,,,,,,EHDSImagingStudy.header.language,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingStudy.encounter,SHOULD:process,SHOULD:able-to-populate,
,,,,,,,EHDSImagingStudy.studyCustodian,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.studyEndpoint,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.series.seriesUid,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.series.specimen,,,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.instanceTitle,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.instanceUid,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.sopClass,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.instanceNumber,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.numberOfFrames,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage.flag,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage.reason,,SHOULD:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage.seriesUID,,SHALL:able-to-populate,
,,,,,,,EHDSImagingStudy.series.instancesInTheSeries.keyImage.instanceUID,,SHALL:able-to-populate,
,,,,,,,EHDSImmunisation.header,,,
,,,,,,,EHDSImmunisation.header.subject,,SHALL:able-to-populate,
,,,,,,,EHDSImmunisation.header.identifier,,SHOULD:able-to-populate,
,,,,,,,EHDSImmunisation.header.author[x],,,
,,,,,,,EHDSImmunisation.header.date,,,
,,,,,,,EHDSImmunisation.header.status,,SHALL:able-to-populate,
,,,,,,,EHDSImmunisation.header.source,,,
,,,,,,,EHDSImmunisation.header.language,,,
,,,,,,,EHDSImmunisation.diseaseOrAgentTargeted,,,
,,,,,,,EHDSImmunisation.vaccine,,SHALL:able-to-populate,
,,,,,,,EHDSImmunisation.administeredProduct,,SHOULD:able-to-populate,
,,,,,,,EHDSImmunisation.administrationTime,,SHALL:able-to-populate,
,,,,,,,EHDSImmunisation.administeringCentre,,,
,,,,,,,EHDSImmunisation.administrator,,,
,,,,,,,EHDSImmunisation.note,,,
,,,,,,,EHDSLaboratoryObservation.header,,,
,,,,,,,EHDSLaboratoryObservation.header.subject,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.header.identifier,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.header.author[x],SHOULD:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.header.date,,,
,,,,,,,EHDSLaboratoryObservation.header.status,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.header.source,,,
,,,,,,,EHDSLaboratoryObservation.header.language,,,
,,,,,,,EHDSLaboratoryObservation.header.directSubject[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.observationDate[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.type,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.originalName,SHOULD:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.method,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.specimen,SHOULD:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.order,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.performer[x],,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.bodySite,,,
,,,,,,,EHDSLaboratoryObservation.result,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.result.value[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.result.uncertainty,SHOULD:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.result.uncertainty.value,,,
,,,,,,,EHDSLaboratoryObservation.result.uncertainty.type,,,
,,,,,,,EHDSLaboratoryObservation.result.dataAbsentReason,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.referenceRange,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.referenceRange.low,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.referenceRange.high,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.referenceRange.normalValue,SHALL:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.referenceRange.type,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.referenceRange.appliesTo,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.referenceRange.age,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.referenceRange.text,SHALL:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.interpretation,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.note,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component,SHALL:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.type,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.originalName,SHOULD:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.result,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.result.value[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.result.uncertainty,SHOULD:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.result.uncertainty.value,,,
,,,,,,,EHDSLaboratoryObservation.component.result.uncertainty.type,,,
,,,,,,,EHDSLaboratoryObservation.component.result.dataAbsentReason,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.referenceRange,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.referenceRange.low,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.referenceRange.high,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.referenceRange.normalValue,SHALL:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.referenceRange.type,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.referenceRange.appliesTo,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.referenceRange.age,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.referenceRange.text,SHALL:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.component.interpretation,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.derivedFrom[x],,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.hasMember[x],,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.triggeredBy[x],,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.testKit,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.calibrator,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryObservation.accreditationStatus,,,
,,,,,,,EHDSLaboratoryObservation.previousResults,,,
,,,,,,,EHDSLaboratoryObservation.pointOfCareTest,,,
,,,,,,,EHDSLaboratoryReport.header,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.subject,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.identifier,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.author[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.date,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.status,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.source,,,
,,,,,,,EHDSLaboratoryReport.header.language,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.documentType,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.documentTitle,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.period,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.version,,,
,,,,,,,EHDSLaboratoryReport.header.attestation,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.attestation.attester[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.attestation.datetime,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.legalAuthentication,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.legalAuthentication.legalAuthenticator[x],,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.legalAuthentication.datetime,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.eventType,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.serviceSpecialty,SHOULD:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.custodian,,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.header.intendedRecipient[x],,,
,,,,,,,EHDSLaboratoryReport.presentedForm,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body,SHALL:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.orderInformation,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderId,SHOULD:process,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderDateAndTime,,,
,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderPlacer[x],SHOULD:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.orderInformation.orderReason[x],SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.orderInformation.clinicalQuestion,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.supportingInformation,SHALL:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.supportingInformation.observation,SHALL:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.supportingInformation.condition,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.supportingInformation.medicationAdministration,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.supportingInformation.sexForClinicalUse,SHALL:display,SHALL:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.supportingInformation.vaccination,SHALL:display,SHOULD:able-to-populate,
,,,,,,,EHDSLaboratoryReport.body.supportingInformation.otherSupportingInformation,SHOULD:display,SHOULD:able-to-populate,
