IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation
MadoWebViewerEndpoint.modifierExtension,EuMadoWebViewerEndpoint.modifierExtension,,,,
MadoWebViewerEndpoint.identifier,EuMadoWebViewerEndpoint.identifier,,,,
MadoWebViewerEndpoint.status,EuMadoWebViewerEndpoint.status,,,,
MadoWebViewerEndpoint.connectionType,EuMadoWebViewerEndpoint.connectionType,,,,
MadoWebViewerEndpoint.name,EuMadoWebViewerEndpoint.name,,,,
MadoWebViewerEndpoint.managingOrganization,EuMadoWebViewerEndpoint.managingOrganization,,,,
MadoWebViewerEndpoint.contact,EuMadoWebViewerEndpoint.contact,,,,
MadoWebViewerEndpoint.period,EuMadoWebViewerEndpoint.period,,,,
MadoWebViewerEndpoint.payloadType,EuMadoWebViewerEndpoint.payloadType,,,,
MadoWebViewerEndpoint.payloadType[type-none],EuMadoWebViewerEndpoint.payloadType[type-none],,,,
MadoWebViewerEndpoint.payloadType.id,EuMadoWebViewerEndpoint.payloadType.id,,,,
MadoWebViewerEndpoint.payloadType.extension,EuMadoWebViewerEndpoint.payloadType.extension,,,,
MadoWebViewerEndpoint.payloadType.coding,EuMadoWebViewerEndpoint.payloadType.coding,,,,
MadoWebViewerEndpoint.payloadType.coding.id,EuMadoWebViewerEndpoint.payloadType.coding.id,,,,
MadoWebViewerEndpoint.payloadType.coding.extension,EuMadoWebViewerEndpoint.payloadType.coding.extension,,,,
MadoWebViewerEndpoint.payloadType.coding.system,EuMadoWebViewerEndpoint.payloadType.coding.system,,,,
MadoWebViewerEndpoint.payloadType.coding.version,EuMadoWebViewerEndpoint.payloadType.coding.version,,,,
MadoWebViewerEndpoint.payloadType.coding.code,EuMadoWebViewerEndpoint.payloadType.coding.code,,,,
MadoWebViewerEndpoint.payloadType.coding.display,EuMadoWebViewerEndpoint.payloadType.coding.display,,,,
MadoWebViewerEndpoint.payloadType.coding.userSelected,EuMadoWebViewerEndpoint.payloadType.coding.userSelected,,,,
MadoWebViewerEndpoint.payloadType.text,EuMadoWebViewerEndpoint.payloadType.text,,,,
MadoWebViewerEndpoint.payloadMimeType,EuMadoWebViewerEndpoint.payloadMimeType,,,,
MadoWebViewerEndpoint.address,EuMadoWebViewerEndpoint.address,MS,,SHALL:populate,Required by MADO
MadoWebViewerEndpoint.header,EuMadoWebViewerEndpoint.header,,,,
MadoAccessionNumberIdentifier.id,,,,,
MadoAccessionNumberIdentifier.extension,,,,,
MadoAccessionNumberIdentifier.use,,,,,
MadoAccessionNumberIdentifier.type,,,,,
MadoAccessionNumberIdentifier.type.id,,,,,
MadoAccessionNumberIdentifier.type.extension,,,,,
MadoAccessionNumberIdentifier.type.coding,,,,,
MadoAccessionNumberIdentifier.type.coding[v2-0203-coding],,,,,
MadoAccessionNumberIdentifier.type.coding[dcm],,,,,
MadoAccessionNumberIdentifier.type.text,,,,,
MadoAccessionNumberIdentifier.system,,,,,
MadoAccessionNumberIdentifier.value,,,,,
MadoAccessionNumberIdentifier.period,,,,,
MadoAccessionNumberIdentifier.assigner,,,,,
MadoAnatomicalRegionExtension.id,,,,,
MadoAnatomicalRegionExtension.extension,,,,,
MadoAnatomicalRegionExtension.url,,,,,
MadoAnatomicalRegionExtension.value[x],,,,,
MadoKeyObjectDocumentTitle.id,,,,,
MadoKeyObjectDocumentTitle.extension,,,,,
MadoKeyObjectDocumentTitle.url,,,,,
MadoKeyObjectDocumentTitle.value[x],,,,,
MadoNumberOfFrames.id,,,,,
MadoNumberOfFrames.extension,,,,,
MadoNumberOfFrames.url,,,,,
MadoNumberOfFrames.value[x],,,,,
MadoReferencedAccessionNumberIdentifier.id,,,,,
MadoReferencedAccessionNumberIdentifier.extension,,,,,
MadoReferencedAccessionNumberIdentifier.reference,,,,,
MadoReferencedAccessionNumberIdentifier.type,,,,,
MadoReferencedAccessionNumberIdentifier.identifier,,,,,
MadoReferencedAccessionNumberIdentifier.display,,,,,
MadoReferencedStudyInstanceUidIdentifier.id,,,,,
MadoReferencedStudyInstanceUidIdentifier.extension,,,,,
MadoReferencedStudyInstanceUidIdentifier.reference,,,,,
MadoReferencedStudyInstanceUidIdentifier.type,,,,,
MadoReferencedStudyInstanceUidIdentifier.identifier,,,,,
MadoReferencedStudyInstanceUidIdentifier.display,,,,,
MadoRetrieveLocationUIDExtension.id,,,,,
MadoRetrieveLocationUIDExtension.extension,,,,,
MadoRetrieveLocationUIDExtension.url,,,,,
MadoRetrieveLocationUIDExtension.value[x],,,,,
MadoStudyInstanceUidIdentifier.id,,,,,
MadoStudyInstanceUidIdentifier.extension,,,,,
MadoStudyInstanceUidIdentifier.use,,,,,
MadoStudyInstanceUidIdentifier.type,,,,,
MadoStudyInstanceUidIdentifier.type.id,,,,,
MadoStudyInstanceUidIdentifier.type.extension,,,,,
MadoStudyInstanceUidIdentifier.type.coding,,,,,
MadoStudyInstanceUidIdentifier.type.coding[dcm],,,,,
MadoStudyInstanceUidIdentifier.type.text,,,,,
MadoStudyInstanceUidIdentifier.system,,,,,
MadoStudyInstanceUidIdentifier.value,,,,,
MadoStudyInstanceUidIdentifier.period,,,,,
MadoStudyInstanceUidIdentifier.assigner,,,,,
